ID,Date,BIOINFORMATICS DATA ANALYST,"Los Angeles, CA",Hired,Easy Apply,Month,Total Hired per Month,
24368,1/1/19 0:01,BIOINFORMATICS DATA ANALYST,"Los Angeles, CA",FALSE,FALSE,January,2387,
24369,1/1/19 0:01,BIOINFORMATICS DATA ANALYST,"New York, NY",FALSE,FALSE,February,2312,Febrary least applicants
24371,1/1/19 0:01,BUSINESS DATA ANALYST,"Greenwood Village, Arapahoe, CO",TRUE,FALSE,March,2536,2312
24374,1/1/19 0:01,BUSINESS DATA ANALYST,"Northridge, CA",FALSE,FALSE,April,2544,
24388,1/1/19 0:01,BUSINESS DATA ANALYST,"Los Angeles, CA",FALSE,TRUE,May,2954,July most applicants
24393,1/1/19 0:01,BUSINESS DATA ANALYST,"Salt Lake City, UT",FALSE,FALSE,June,2990,3138
24395,1/1/19 0:01,BUSINESS DATA ANALYST,"Redwood City, CA",FALSE,FALSE,July,3138,
24402,1/1/19 0:01,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,August,2969,
24426,1/1/19 0:10,BUSINESS DATA ANALYST,"El Cajon, CA",TRUE,FALSE,September ,2865,
24430,1/1/19 0:20,BUSINESS DATA ANALYST,"Chicago, IL",FALSE,FALSE,October,2751,
24434,1/1/19 0:20,BUSINESS DATA ANALYST,"Houston, TX",FALSE,FALSE,November,2508,
24444,1/1/19 0:30,BUSINESS DATA ANALYST,"Santa Clara, CA",TRUE,FALSE,December,2642,
24458,1/1/19 0:36,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,Total,32596,
24470,1/1/19 1:00,BUSINESS DATA ANALYST,"Houston, TX",TRUE,FALSE,Average per Month,2716,
24473,1/1/19 1:14,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,,,
24490,1/1/19 1:22,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
24491,1/1/19 1:30,BUSINESS DATA ANALYST,"Doylestown, PA",TRUE,FALSE,,,
24498,1/1/19 1:37,BUSINESS DATA ANALYST,"Woodbridge, NJ",TRUE,FALSE,,,
24524,1/1/19 2:00,BUSINESS DATA ANALYST,"Lakewood, CO",FALSE,FALSE,,,
24527,1/1/19 2:00,BUSINESS DATA ANALYST,"Cerritos, CA",TRUE,FALSE,,,
24529,1/1/19 2:00,BUSINESS DATA ANALYST,"New York, NY",TRUE,FALSE,,,
24530,1/1/19 2:09,BUSINESS DATA ANALYST,"Mountain View, CA",FALSE,FALSE,,,
24533,1/1/19 2:15,BUSINESS DATA ANALYST,"San Antonio, TX",FALSE,FALSE,,,
24539,1/1/19 2:16,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
24545,1/1/19 2:20,BUSINESS DATA ANALYST,"Norfolk, VA",TRUE,FALSE,,,
24547,1/1/19 2:30,BUSINESS DATA ANALYST,"Houston, TX",FALSE,FALSE,,,
24558,1/1/19 2:30,BUSINESS DATA ANALYST,"Downers Grove, IL",FALSE,FALSE,,,
24573,1/1/19 2:44,BUSINESS DATA ANALYST,"San Jose, CA",FALSE,FALSE,,,
24582,1/1/19 2:45,BUSINESS DATA ANALYST,"Los Angeles, CA",FALSE,FALSE,,,
24595,1/1/19 3:00,BUSINESS DATA ANALYST,"Redmond, WA",FALSE,FALSE,,,
24598,1/1/19 3:15,BUSINESS DATA ANALYST,"Centennial, CO",FALSE,FALSE,,,
24603,1/1/19 3:16,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
24607,1/1/19 3:30,BUSINESS DATA ANALYST,"Malvern, PA",TRUE,FALSE,,,
24610,1/1/19 3:34,BUSINESS DATA ANALYST,"Dallas, TX",FALSE,FALSE,,,
24620,1/1/19 3:40,BUSINESS DATA ANALYST,"Hampton, VA",FALSE,FALSE,,,
24637,1/1/19 3:50,BUSINESS DATA ANALYST,"Denver, CO",FALSE,TRUE,,,
24646,1/1/19 3:50,BUSINESS DATA ANALYST,"Chicago, IL",FALSE,FALSE,,,
24650,1/1/19 3:59,BUSINESS DATA ANALYST,"Berwyn, PA",FALSE,FALSE,,,
24652,1/1/19 4:00,BUSINESS DATA ANALYST,"San Francisco, CA",TRUE,FALSE,,,
24670,1/1/19 4:00,BUSINESS DATA ANALYST,"Houston, TX",FALSE,FALSE,,,
24722,1/1/19 4:00,BUSINESS DATA ANALYST,"Austin, TX",FALSE,FALSE,,,
24732,1/1/19 4:00,BUSINESS DATA ANALYST,"Deerfield, IL",TRUE,TRUE,,,
24734,1/1/19 4:00,BUSINESS DATA ANALYST,"Fort Worth, TX",TRUE,FALSE,,,
24750,1/1/19 4:20,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,,,
24755,1/1/19 4:30,BUSINESS DATA ANALYST,"San Jose, CA",FALSE,FALSE,,,
24769,1/1/19 4:31,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
24792,1/1/19 4:33,BUSINESS DATA ANALYST,"Phoenix, AZ",TRUE,FALSE,,,
24793,1/1/19 4:37,BUSINESS DATA ANALYST,"Tempe, AZ",FALSE,FALSE,,,
24811,1/1/19 5:20,BUSINESS DATA ANALYST,"Dallas, TX",FALSE,FALSE,,,
24815,1/1/19 5:24,BUSINESS DATA ANALYST,"Broomfield, CO",FALSE,FALSE,,,
24823,1/1/19 5:55,BUSINESS DATA ANALYST,"Jacksonville, FL",FALSE,FALSE,,,
24854,1/1/19 7:00,BUSINESS DATA ANALYST,"Scottsdale, AZ",TRUE,FALSE,,,
24872,1/1/19 7:00,BUSINESS DATA ANALYST,"Norfolk, VA",TRUE,TRUE,,,
24874,1/1/19 7:00,BUSINESS DATA ANALYST,"Houston, TX",FALSE,FALSE,,,
24879,1/1/19 7:35,BUSINESS DATA ANALYST,"San Mateo, CA",FALSE,FALSE,,,
11552626,1/1/19 7:37,BUSINESS DATA ANALYST,"Chicago, IL",FALSE,TRUE,,,
11552640,1/1/19 8:00,BUSINESS DATA ANALYST,"Tempe, AZ",TRUE,FALSE,,,
11552643,1/1/19 8:00,BUSINESS DATA ANALYST,"Itasca, IL",TRUE,FALSE,,,
11552651,1/1/19 8:00,BUSINESS DATA ANALYST,"Los Gatos, CA",FALSE,FALSE,,,
11552681,1/1/19 8:00,BUSINESS DATA ANALYST,"Tempe, AZ",FALSE,FALSE,,,
11552689,1/1/19 8:00,BUSINESS DATA ANALYST,"Greenwood Village, Arapahoe, CO",FALSE,TRUE,,,
11552704,1/1/19 8:00,BUSINESS DATA ANALYST,"Allen, TX",FALSE,TRUE,,,
11552722,1/1/19 8:00,BUSINESS DATA ANALYST,"Redwood City, CA",TRUE,FALSE,,,
11552744,1/1/19 8:02,BUSINESS DATA ANALYST,"Cerritos, CA",FALSE,TRUE,,,
11552757,1/1/19 8:59,BUSINESS DATA ANALYST,"Chicago, IL",TRUE,FALSE,,,
11552769,1/1/19 9:00,BUSINESS DATA ANALYST,"Houston, TX",TRUE,FALSE,,,
11552779,1/1/19 9:00,BUSINESS DATA ANALYST,"Austin, TX",TRUE,FALSE,,,
11552784,1/1/19 9:10,BUSINESS DATA ANALYST,"San Francisco, CA",TRUE,FALSE,,,
11552795,1/1/19 10:00,BUSINESS DATA ANALYST,"Charlotte, NC",FALSE,TRUE,,,
11552796,1/1/19 11:35,BUSINESS DATA ANALYST,"Burlingame, CA",FALSE,FALSE,,,
11552798,1/1/19 11:49,BUSINESS DATA ANALYST,"San Mateo, CA",FALSE,FALSE,,,
11552800,1/1/19 12:00,BUSINESS DATA ANALYST,"Queens Village, NY",FALSE,FALSE,,,
11552816,1/1/19 12:00,BUSINESS DATA ANALYST,"Los Angeles, CA",FALSE,TRUE,,,
11552827,1/1/19 12:05,BUSINESS DATA ANALYST,"Dallas, TX",FALSE,FALSE,,,
11552837,1/1/19 12:24,BUSINESS DATA ANALYST,"Long Beach, CA",FALSE,TRUE,,,
11552841,1/1/19 12:24,BUSINESS DATA ANALYST,"Irving, TX",TRUE,FALSE,,,
11552852,1/1/19 12:30,BUSINESS DATA ANALYST,"Norfolk, VA",TRUE,FALSE,,,
11552870,1/1/19 12:40,BUSINESS DATA ANALYST,"Chicago, IL",TRUE,TRUE,,,
11552878,1/1/19 12:50,BUSINESS DATA ANALYST,"Northfield, IL",FALSE,FALSE,,,
11552901,1/1/19 13:00,BUSINESS DATA ANALYST,"Philadelphia, PA",TRUE,FALSE,,,
11552937,1/1/19 14:04,BUSINESS DATA ANALYST,"Irwindale, CA",FALSE,TRUE,,,
11552946,1/1/19 14:10,BUSINESS DATA ANALYST,"Charlotte, NC",FALSE,FALSE,,,
11552956,1/1/19 14:56,BUSINESS DATA ANALYST,"Whitestown, IN",FALSE,TRUE,,,
11552959,1/1/19 15:00,BUSINESS DATA ANALYST,"Denver, CO",FALSE,FALSE,,,
11552995,1/1/19 15:00,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
11552996,1/1/19 15:15,BUSINESS DATA ANALYST,"Jacksonville, FL",TRUE,FALSE,,,
11553003,1/1/19 15:51,BUSINESS DATA ANALYST,"Los Angeles, CA",FALSE,FALSE,,,
11553053,1/1/19 16:25,BUSINESS DATA ANALYST,"San Antonio, TX",FALSE,TRUE,,,
11553078,1/1/19 16:35,BUSINESS DATA ANALYST,"Austin, TX",FALSE,FALSE,,,
11553094,1/1/19 16:37,BUSINESS DATA ANALYST,"Venice, CA",FALSE,FALSE,,,
11553112,1/1/19 16:50,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
11553131,1/1/19 17:00,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
11553139,1/1/19 17:00,BUSINESS DATA ANALYST,"Virginia Beach, VA",FALSE,FALSE,,,
11553189,1/1/19 17:10,BUSINESS DATA ANALYST,"Westerville, OH",FALSE,FALSE,,,
11553191,1/1/19 17:55,BUSINESS DATA ANALYST,"Philadelphia, PA",FALSE,TRUE,,,
11553193,1/1/19 18:46,BUSINESS DATA ANALYST,"Dallas, TX",TRUE,FALSE,,,
11553230,1/1/19 18:50,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,,,
11553235,1/1/19 19:00,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
11553264,1/1/19 19:09,BUSINESS DATA ANALYST,"Philadelphia, PA",FALSE,FALSE,,,
11553291,1/1/19 19:18,BUSINESS DATA ANALYST,"San Francisco, CA",FALSE,FALSE,,,
11553326,1/1/19 19:19,BUSINESS DATA ANALYST,"San Diego, CA",FALSE,FALSE,,,
11553365,1/1/19 19:30,BUSINESS DATA ANALYST,"Newark, NJ",FALSE,TRUE,,,
11553373,1/1/19 19:45,BUSINESS DATA ANALYST,"Mooresville, NC",TRUE,FALSE,,,
11553376,1/1/19 20:00,BUSINESS DATA ANALYST,"Philadelphia, PA",FALSE,FALSE,,,
11553387,1/1/19 20:30,BUSINESS DATA ANALYST,"Wilmington, DE",TRUE,FALSE,,,
11553393,1/1/19 20:30,BUSINESS DATA ANALYST,"San Antonio, TX",FALSE,FALSE,,,
11553396,1/1/19 20:38,BUSINESS DATA ANALYST,"Azusa, CA",TRUE,TRUE,,,
11553420,1/1/19 21:00,BUSINESS DATA ANALYST,"New York, NY",FALSE,FALSE,,,
11553440,1/1/19 21:23,BUSINESS DATA ANALYST,"San Antonio, TX",FALSE,FALSE,,,
11553454,1/1/19 22:00,BUSINESS DATA ANALYST,"Aurora, CO",FALSE,TRUE,,,
